code,manufacturer,description,type,locale,is_generic,source_file
P1363,BMW,Misfire Cylinder 11 With Fuel Cut-off,P,en,0,bmw_codes
P1364,BMW,Misfire During Start Cylinder 12,P,en,0,bmw_codes
P1365,BMW,Misfire Cylinder 12 With Fuel Cut-off,P,en,0,bmw_codes
P1384,BMW,Knock Sensor 3 Circuit,P,en,0,bmw_codes
P1385,BMW,Knock Sensor 4 Circuit,P,en,0,bmw_codes
P1386,BMW,Control Module Self-test Knock Control Baseline Test Bank 1,P,en,0,bmw_codes
P1396,BMW,Crankshaft Position Sensor Segment Timing Plausibility,P,en,0,bmw_codes
P1397,BMW,Camshaft Position Sensor B Circuit Bank 1,P,en,0,bmw_codes
P1400,BMW,Heated Catalyst Battery Voltage or Current Too Low During Heating Bank 1,P,en,0,bmw_codes
P1401,BMW,Heated Catalyst Current Too High During Heating Bank 1,P,en,0,bmw_codes
P1402,BMW,Heated Catalyst Power Switch Overtemperature Condition Bank 1,P,en,0,bmw_codes
P1403,BMW,Carbon Canister Shut Off Valve Control Circuit Electrical,P,en,0,bmw_codes
P1404,BMW,Heated Catalyst Current Too High During Heating Bank 2,P,en,0,bmw_codes
P1405,BMW,Heated Catalyst Power Switch Overtemperature Condition Bank 2,P,en,0,bmw_codes
P1406,BMW,Heated Catalyst Internal Control Module Checksum ROM Error,P,en,0,bmw_codes
P1413,BMW,Secondary Air Injection Pump Relay Control Circuit Signal Low,P,en,0,bmw_codes
P1414,BMW,Secondary Air Injection System Monitor Circuit High,P,en,0,bmw_codes
P1420,BMW,Secondary Air Valve Control Circuit Electrical,P,en,0,bmw_codes
P1421,BMW,Secondary Air System Bank 1,P,en,0,bmw_codes
P1422,BMW,Secondary Air System Bank 2,P,en,0,bmw_codes
P1432,BMW,Secondary Air Injection System Incorrect Flow Detected,P,en,0,bmw_codes
P1438,BMW,Purge Control Valve Control Open Circuit,P,en,0,bmw_codes
P1439,BMW,Purge Control Valve Control Circuit Signal Low,P,en,0,bmw_codes
P1440,BMW,Purge Control Valve Control Circuit Signal High,P,en,0,bmw_codes
P1441,BMW,Leakage Diagnostic Pump Control Open Circuit,P,en,0,bmw_codes
P1442,BMW,Leakage Diagnostic Pump Control Circuit Signal Low,P,en,0,bmw_codes
P1443,BMW,Leakage Diagnostic Pump Control Circuit Signal High,P,en,0,bmw_codes
P1444,BMW,Diagnostic Module Tank Leakage DM-TL Pump Control Open Circuit,P,en,0,bmw_codes
P1445,BMW,Diagnostic Module Tank Leakage DM-TL Pump Control Circuit Signal Low,P,en,0,bmw_codes
P1446,BMW,Diagnostic Module Tank Leakage DM-TL Pump Control Circuit Signal High,P,en,0,bmw_codes
P1447,BMW,Diagnostic Module Tank Leakage DM-TL Pump Too High During Switching,P,en,0,bmw_codes
P1448,BMW,Diagnostic Module Tank Leakage DM-TL Pump Too Low During Switching,P,en,0,bmw_codes
P1449,BMW,Diagnostic Module Tank Leakage DM-TL Pump Too High,P,en,0,bmw_codes
P1450,BMW,Diagnostic Module Tank Leakage DM-TL Switching Solenoid Open Circuit,P,en,0,bmw_codes
P1451,BMW,Diagnostic Module Tank Leakage DM-TL Switching Solenoid Control Circuit Signal Low,P,en,0,bmw_codes
P1452,BMW,Diagnostic Module Tank Leakage DM-TL Switching Solenoid Control Circuit Signal High,P,en,0,bmw_codes
P1453,BMW,Secondary Air Injection Pump Relay Control Circuit Electrical,P,en,0,bmw_codes
P1454,BMW,Secondary Air Injection Pump With Series Resistor Control Circuit Electrical,P,en,0,bmw_codes
P1456,BMW,Heated Catalyst Heater Power Supply Open Circuit Bank 1,P,en,0,bmw_codes
P1457,BMW,Heated Catalyst Heater Power Switch Temperature Sensor Electrical Bank 1,P,en,0,bmw_codes
P1459,BMW,Heated Catalyst Heater Power Supply Open Circuit Bank 2,P,en,0,bmw_codes
P1460,BMW,Heated Catalyst Heater Power Switch Temperature Sensor Electrical Bank 2,P,en,0,bmw_codes
P1461,BMW,Heated Catalyst Gate Voltage Signal Low,P,en,0,bmw_codes
P1462,BMW,Heated Catalyst Internal Control Module Checksum ROM Error,P,en,0,bmw_codes
P1463,BMW,Heated Catalyst Battery Temperature Sensor 1 Electrical,P,en,0,bmw_codes
P1464,BMW,Heated Catalyst Battery Temperature Sensor 2 Electrical,P,en,0,bmw_codes
P1465,BMW,Heated Catalyst Battery Temperature Sensor 1 or 2 Plausibility,P,en,0,bmw_codes
P1466,BMW,Heated Catalyst Power Switch Temperature Sensor Plausibility,P,en,0,bmw_codes
P1467,BMW,Heated Catalyst Comparison Battery Voltages of Power Switches Plausibility,P,en,0,bmw_codes
P1468,BMW,Heated Catalyst Battery Disconnecting Switch Plausibility,P,en,0,bmw_codes
P1470,BMW,Leakage Diagnostic Pump Control Circuit Electrical,P,en,0,bmw_codes
P1472,BMW,Diagnostic Module Tank Leakage DM-TL Switching Solenoid Control Circuit Electrical,P,en,0,bmw_codes
P1473,BMW,Diagnostic Module Tank Leakage DM-TL Pump Current Plausibility,P,en,0,bmw_codes
P1475,BMW,Leakage Diagnostic Pump Reed Switch Did Not Close,P,en,0,bmw_codes
P1476,BMW,Leakage Diagnostic Pump Clamped Tube,P,en,0,bmw_codes
P1477,BMW,Leakage Diagnostic Pump Reed Switch Did Not Open,P,en,0,bmw_codes
P1500,BMW,Idle Speed Control Valve Stuck Open,P,en,0,bmw_codes
P1501,BMW,Idle Speed Control Valve Stuck Closed,P,en,0,bmw_codes
P1502,BMW,Idle Speed Control Valve Closing Solenoid Control Circuit Signal High Or Low,P,en,0,bmw_codes
P1503,BMW,Idle Speed Control Valve Closing Solenoid Control Circuit Signal Low,P,en,0,bmw_codes
P1504,BMW,Idle Speed Control Valve Closing Solenoid Control Open Circuit,P,en,0,bmw_codes
P1505,BMW,Idle Speed Control Valve Closing Solenoid Control Circuit Electrical,P,en,0,bmw_codes
P1506,BMW,Idle Speed Control Valve Open Solenoid Control Circuit Signal High,P,en,0,bmw_codes
P1507,BMW,Idle Speed Control Valve Open Solenoid Control Circuit Signal Low,P,en,0,bmw_codes
P1508,BMW,Idle Speed Control Valve Opening Solenoid Control Open Circuit,P,en,0,bmw_codes
P1509,BMW,Idle Speed Control Valve Opening Solenoid Control Circuit Electrical,P,en,0,bmw_codes
P1510,BMW,Idle Speed Control Valve Stuck,P,en,0,bmw_codes
P1511,BMW,DISA Control Circuit Electrical,P,en,0,bmw_codes
P1512,BMW,DISA Control Circuit Signal Low,P,en,0,bmw_codes
P1513,BMW,DISA Control Circuit Signal High,P,en,0,bmw_codes
P1519,BMW,A Camshaft Position Actuator Bank 1,P,en,0,bmw_codes
P1520,BMW,B Camshaft Position Actuator Bank 1,P,en,0,bmw_codes
P1522,BMW,A Camshaft Position Actuator Bank 2,P,en,0,bmw_codes
P1523,BMW,A Camshaft Position Actuator Signal Low Bank 1,P,en,0,bmw_codes
P1524,BMW,A Camshaft Position Actuator Signal High Bank 1,P,en,0,bmw_codes
P1525,BMW,A Camshaft Position Actuator Control Open Circuit Bank 1,P,en,0,bmw_codes
P1526,BMW,A Camshaft Position Actuator Control Open Circuit Bank 2,P,en,0,bmw_codes
P1527,BMW,A Camshaft Position Actuator Control Circuit Signal Low Bank 1,P,en,0,bmw_codes
P1528,BMW,A Camshaft Position Actuator Control Circuit Signal High Bank 1,P,en,0,bmw_codes
P1529,BMW,B Camshaft Position Actuator Control Circuit Signal Low Bank 1,P,en,0,bmw_codes
P1530,BMW,B Camshaft Position Actuator Control Circuit Signal High Bank 1,P,en,0,bmw_codes
P1531,BMW,B Camshaft Position Actuator Control Open Circuit Bank 1,P,en,0,bmw_codes
P1532,BMW,B Camshaft Position Actuator Control Open Circuit Bank 2,P,en,0,bmw_codes
P1533,BMW,B Camshaft Position Actuator Control Circuit Signal Low Bank 2,P,en,0,bmw_codes
P1534,BMW,B Camshaft Position Actuator Control Circuit Signal High Bank 2,P,en,0,bmw_codes
P1540,BMW,Pedal Position Sensor,P,en,0,bmw_codes
P1541,BMW,Pedal Position Sensor Double Error,P,en,0,bmw_codes
P1542,BMW,Pedal Position Sensor Electrical,P,en,0,bmw_codes
P1543,BMW,Pedal Position Sensor,P,en,0,bmw_codes
P1544,BMW,Pedal Position Sensor,P,en,0,bmw_codes
P1545,BMW,Pedal Position Sensor,P,en,0,bmw_codes
P1546,BMW,Pedal Position Sensor,P,en,0,bmw_codes
P1550,BMW,Idle Speed Control Valve Closing Solenoid Control Circuit Electrical,P,en,0,bmw_codes
P1551,BMW,A Camshaft Position Actuator Control Open Circuit Bank 1,P,en,0,bmw_codes
P1552,BMW,A Camshaft Position Actuator Control Open Circuit Bank 1,P,en,0,bmw_codes
P1556,BMW,A Camshaft Position Actuator Control Open Circuit Bank 1,P,en,0,bmw_codes
P1560,BMW,B Camshaft Position Actuator Control Open Circuit Bank 1,P,en,0,bmw_codes
P1564,BMW,Control Module Selection,P,en,0,bmw_codes
P1565,BMW,B Camshaft Position Actuator Control Open Circuit Bank 1,P,en,0,bmw_codes
P1569,BMW,A Camshaft Position Actuator Control Open Circuit Bank 2,P,en,0,bmw_codes
P1580,BMW,Throttle Valve Mechanically Stuck,P,en,0,bmw_codes
P1581,BMW,B Camshaft Position Actuator Control Open Circuit Bank 2,P,en,0,bmw_codes
P1589,BMW,Control Module Self Test Knock Control Test Pulse Bank 1,P,en,0,bmw_codes
P1593,BMW,DISA Control Circuit Electrical,P,en,0,bmw_codes
P1594,BMW,B Camshaft Position Actuator Control Open Circuit Bank 2,P,en,0,bmw_codes
P1602,BMW,Control Module Self Test Control Module Defective,P,en,0,bmw_codes
P1603,BMW,Control Module Self Test Torque Monitoring,P,en,0,bmw_codes
P1604,BMW,Control Module Self Test Speed Monitoring,P,en,0,bmw_codes
P1607,BMW,CAN Version,P,en,0,bmw_codes
P1608,BMW,Serial Communicating Link Control Module,P,en,0,bmw_codes
P1609,BMW,Serial Communicating Link EML,P,en,0,bmw_codes
P1611,BMW,Serial Communicating Link Transmission Control Module,P,en,0,bmw_codes
P1619,BMW,MAP Cooling Control Circuit Signal Low,P,en,0,bmw_codes
P1620,BMW,MAP Cooling Control Circuit Signal High,P,en,0,bmw_codes
P1622,BMW,MAP Cooling Control Circuit Electrical,P,en,0,bmw_codes
P1623,BMW,Pedal Position Sensor Potentiometer Supply,P,en,0,bmw_codes
P1624,BMW,Pedal Position Sensor Potentiometer Supply Channel 1 Electrical,P,en,0,bmw_codes
P1625,BMW,Pedal Position Sensor Potentiometer Supply Channel 2 Electrical,P,en,0,bmw_codes
P1632,BMW,Throttle Valve Adaptation Adaptation Condition Not Met,P,en,0,bmw_codes
P1633,BMW,Throttle Valve Adaptation Limp Home Position,P,en,0,bmw_codes
P1634,BMW,Throttle Valve Adaptation Spring Test Failed,P,en,0,bmw_codes
P1635,BMW,Throttle Valve Adaptation Lower Mechanical Stop Not Adapted,P,en,0,bmw_codes
P1636,BMW,Throttle Valve Control Circuit,P,en,0,bmw_codes
P1637,BMW,Throttle Valve Position Control Control Deviation,P,en,0,bmw_codes
P1638,BMW,Throttle Valve Position Control Throttle Stuck Temporarily,P,en,0,bmw_codes
P1639,BMW,Throttle Valve Position Control Throttle Stuck Permanently,P,en,0,bmw_codes
P1640,BMW,Internal Control Module ROM RAM Error,P,en,0,bmw_codes
P1690,BMW,Malfunction Indicator Lamp MIL Electrical,P,en,0,bmw_codes
P1734,BMW,Pressure Control Solenoid B Electrical,P,en,0,bmw_codes
P1738,BMW,Pressure Control Solenoid C Electrical,P,en,0,bmw_codes
P1743,BMW,Pressure Control Solenoid E Electrical,P,en,0,bmw_codes
P1744,BMW,Pressure Control Solenoid A Electrical,P,en,0,bmw_codes
P1746,BMW,Transmission Control Module Output Stage,P,en,0,bmw_codes
P1747,BMW,CAN Bus Monitoring,P,en,0,bmw_codes
P1748,BMW,Transmission Control Module Self Test,P,en,0,bmw_codes
P1749,BMW,Secondary Pressure Solenoid Communication Error,P,en,0,bmw_codes
P1750,BMW,Secondary Pressure Solenoid Circuit Range Performance,P,en,0,bmw_codes
P1751,BMW,Secondary Pressure Solenoid Open Circuit,P,en,0,bmw_codes
P1761,BMW,Shift Solenoid Malfunction,P,en,0,bmw_codes
P1765,BMW,CAN Throttle Valve,P,en,0,bmw_codes
P1770,BMW,CAN Torque Interface,P,en,0,bmw_codes
P1780,BMW,CAN Torque Reduction,P,en,0,bmw_codes
P0171,BUICK,System Lean Bank 1,P,en,0,buick_codes
P1031,BUICK,HO2S Heater Current Monitor Control Circuit Sensors 1,P,en,0,buick_codes
P1032,BUICK,HO2S Heater Warm Up Control Circuit Sensors 1,P,en,0,buick_codes
P1105,BUICK,Secondary Vacuum Sensor Circuit,P,en,0,buick_codes
P1106,BUICK,MAP Sensor Circuit Intermittent High Voltage,P,en,0,buick_codes
P1107,BUICK,MAP Sensor Circuit Intermittent Low Voltage,P,en,0,buick_codes
P1108,BUICK,BARO To MAP Sensor Circuit Comparison Too High,P,en,0,buick_codes
P1109,BUICK,Secondary Port Throttle System,P,en,0,buick_codes
P1111,BUICK,Intake Air Temperature (IAT) Sensor Circuit Intermittent High Voltage,P,en,0,buick_codes
P1112,BUICK,Intake Air Temperature (IAT) Sensor Circuit Intermittent Low Voltage,P,en,0,buick_codes
P1113,BUICK,Intake Resonance Switchover Valve Circuit,P,en,0,buick_codes
P1114,BUICK,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent Low Voltage,P,en,0,buick_codes
P1115,BUICK,Engine Coolant Temperature (ECT) Sensor Circuit Intermittent High Voltage,P,en,0,buick_codes
P1116,BUICK,ECT Signal Unstable Or Intermittent,P,en,0,buick_codes
P1117,BUICK,Engine Coolant Temp Signal Out-Of-Range Low,P,en,0,buick_codes
P1118,BUICK,Engine Coolant Temp Signal Out-Of Range High,P,en,0,buick_codes
P1119,BUICK,ECT Signal Out Of Rage With TFT Sensor,P,en,0,buick_codes
P1120,BUICK,Throttle Position (TP) Sensor 1 Circuit,P,en,0,buick_codes
P1121,BUICK,TP Sensor Circuit Intermittent High Voltage,P,en,0,buick_codes
P1122,BUICK,TP Sensor Circuit Intermittent Low Voltage,P,en,0,buick_codes
P1125,BUICK,Accelerator Pedal Position (APP) System,P,en,0,buick_codes
P1130,BUICK,HO2S Circuit Low Variance Bank 1 Sensor 1,P,en,0,buick_codes
P1131,BUICK,HO2S Circuit Low Variance Bank 1 Sensor 2,P,en,0,buick_codes
P1132,BUICK,H02S Circuit Low Variance Bank 2 Sensor 1,P,en,0,buick_codes
P1133,BUICK,HO2S Insufficient Switching,P,en,0,buick_codes
P1134,BUICK,HO2S Transition Time Ratio,P,en,0,buick_codes
P1135,BUICK,HO2S Lean Average Bank 1 Sensor 1,P,en,0,buick_codes
P1136,BUICK,HO2S Rich Average Bank 1 Sensor 1,P,en,0,buick_codes
P1137,BUICK,HO2S Bank 1 Sensor 2 Lean Or Low Voltage,P,en,0,buick_codes
P1138,BUICK,HO2S Bank 1 Sensor 2 Rich Or High Voltage,P,en,0,buick_codes
P1139,BUICK,HO2S Insufficient Switching Bank 1 Sensor 2,P,en,0,buick_codes
P1140,BUICK,HO2S Transition Time Ratio Bank 1 Sensor 2,P,en,0,buick_codes
P1141,BUICK,HO2S Bank 1 Sensor 2 Average Voltage Level,P,en,0,buick_codes
P1143,BUICK,HO2S Bank 1 Sensor 3 Lean Or Low Voltage,P,en,0,buick_codes
P1144,BUICK,HO2S Bank 1 Sensor 3 Rich Or High Voltage,P,en,0,buick_codes
P1145,BUICK,HO2S Cross Counts Bank 1 Sensor 3,P,en,0,buick_codes
P1153,BUICK,HO2S Insufficient Switching,P,en,0,buick_codes
P1154,BUICK,HO2S Transition Time Ratio,P,en,0,buick_codes
P1155,BUICK,HO2S Lean Average Bank 2 Sensor 1,P,en,0,buick_codes
P1156,BUICK,HO2S Rich Average Bank 2 Sensor 1,P,en,0,buick_codes
P1157,BUICK,HO2S Bank 2 Sensor 2 Lean System Or Low Voltage,P,en,0,buick_codes
P1158,BUICK,HO2S Bank 2 Sensor 2 Rich Or High Voltage,P,en,0,buick_codes
P1159,BUICK,HO2S Cross Counts Bank 2 Sensor 2,P,en,0,buick_codes
P1161,BUICK,HO2S Heater Power Stage Circuit Bank 2 Sensor 2,P,en,0,buick_codes
P1163,BUICK,HO2S Bank 2 Sensor 3 Lean System Or Low Voltage,P,en,0,buick_codes
P1164,BUICK,HO2S Bank 2 Sensor 3 Rich Or High Voltage,P,en,0,buick_codes
P1165,BUICK,HO2S Cross Counts Bank 2 Sensor 2,P,en,0,buick_codes
P1170,BUICK,Bank To Bank Fuel Trim Offset,P,en,0,buick_codes
P1171,BUICK,Fuel System Lean During Acceleration,P,en,0,buick_codes
P1185,BUICK,Engine Oil Temperature Circuit,P,en,0,buick_codes
P1186,BUICK,EOT Circuit Performance,P,en,0,buick_codes
P1187,BUICK,EOT Sensor Circuit Low Voltage,P,en,0,buick_codes
P1188,BUICK,EOT Sensor Circuit High Voltage,P,en,0,buick_codes
P1189,BUICK,Engine Oil Pressure Switch Circuit,P,en,0,buick_codes
P1190,BUICK,Engine Vacuum Leak,P,en,0,buick_codes
P1191,BUICK,Intake Air Duct Air Leak,P,en,0,buick_codes
P1200,BUICK,Injector Control Circuit,P,en,0,buick_codes
P1201,BUICK,(Alternative Fuel) Gas Mass Sensor Circuit Range/Performance,P,en,0,buick_codes
P1202,BUICK,(AlternativeFuel) Gas Mass Sensor Circuit Low Frequency,P,en,0,buick_codes
P1203,BUICK,(Alternative Fuel) Gas Mass Sensor Circuit High Frequency,P,en,0,buick_codes
P1211,BUICK,Mass Air Flow Circuit Intermittent High,P,en,0,buick_codes
P1212,BUICK,Mass Air Flow Circuit Intermittent Low,P,en,0,buick_codes
P1214,BUICK,Injection Pump Timing Offset,P,en,0,buick_codes
P1215,BUICK,Ground Fault Detection Indicated,P,en,0,buick_codes
P1216,BUICK,Fuel Solenoid Response Time Too Short,P,en,0,buick_codes
P1217,BUICK,Fuel Solenoid Response Time Too Long,P,en,0,buick_codes
P1218,BUICK,Injection Pump Calibration Circuit,P,en,0,buick_codes
P1219,BUICK,Throttle Position Sensor Refernce Voltage,P,en,0,buick_codes
P1220,BUICK,Throttle Position (TP) Sensor 2 Circuit,P,en,0,buick_codes
P1221,BUICK,Throttle Position (TP) Sensor 1- 2 Correlation,P,en,0,buick_codes
P1222,BUICK,Injector Control Circuit Intermittent,P,en,0,buick_codes
P1225,BUICK,Injector Circuit Cylinder 2 Intermittent,P,en,0,buick_codes
P1228,BUICK,Injector Circuit Cylinder 3 Intermittent,P,en,0,buick_codes
P1231,BUICK,Injector Circuit Cylinder 4 Intermittent,P,en,0,buick_codes
P1234,BUICK,Injector Circuit Cylinder 5 Intermittent,P,en,0,buick_codes
P1237,BUICK,Injector Circuit Cylinder 6 Intermittent,P,en,0,buick_codes
P1240,BUICK,Injector Circuit Cyllinder 7 Intermittent,P,en,0,buick_codes
P1243,BUICK,Injector Circuit Cylinder 8 Intermittent,P,en,0,buick_codes
P1245,BUICK,Intake Plenum Switchover Valve,P,en,0,buick_codes
P1250,BUICK,Early Fuel Evaporation Heater Circuit,P,en,0,buick_codes
P1257,BUICK,Supercharger System Overboost,P,en,0,buick_codes
P1258,BUICK,Engine Coolant Overtemperature Protection Mode Active,P,en,0,buick_codes
P1260,BUICK,"Last Test Failed SCC Or Theft Detected, Vehicle Immobilized",P,en,0,buick_codes
P1270,BUICK,Accelerator Pedal Position Sensor A/D Converter Error,P,en,0,buick_codes
P1271,BUICK,APP Sensor 1-2 Performance,P,en,0,buick_codes
P1272,BUICK,Accelerator Pedal Position Sensor 2,P,en,0,buick_codes
P1273,BUICK,Accelerator Pedal Position Sensor 1,P,en,0,buick_codes
P1274,BUICK,Injectors Wired Incorrectly,P,en,0,buick_codes
P1275,BUICK,Accelerator Pedal Position (APP) Sensor 1 Circuit,P,en,0,buick_codes
P1276,BUICK,Accelerator Pedal Position (APP) Sensor 1 Performance,P,en,0,buick_codes
P1277,BUICK,Accelerator Pedal Position Sensor 1 Circuit Low Voltage,P,en,0,buick_codes
P1278,BUICK,Accelerator Pedal Position Sensor 1 Circuit High Voltage,P,en,0,buick_codes
P1280,BUICK,Accelerator Pedal Position (APP) Sensor 2 Circuit,P,en,0,buick_codes
P1281,BUICK,Accelerator Pedal Position (APP) Sensor 2 Performance,P,en,0,buick_codes
P1282,BUICK,Accelerator Pedal Position Sensor 2 Circuit Low Voltage,P,en,0,buick_codes
P1283,BUICK,Accelerator Pedal Position Sensor 2 Circuit High Voltage,P,en,0,buick_codes
P1285,BUICK,Accelerator Pedal Position (APP) Sensor 3 Circuit,P,en,0,buick_codes
P1286,BUICK,Accelerator Pedal Position (APP) Sensor 3 Performance,P,en,0,buick_codes
P1287,BUICK,Accelerator Pedal Position Sensor 3 Circuit Low Voltage,P,en,0,buick_codes
P1288,BUICK,Accelerator Pedal Position Sensor 3 Circuit High Voltage,P,en,0,buick_codes
P1300,BUICK,Ignitor Circuit,P,en,0,buick_codes
P1305,BUICK,Ignition Coil 2 Primary Feedback Circuit,P,en,0,buick_codes
P1310,BUICK,Ignition Coil 3 Primary Feedback Circuit,P,en,0,buick_codes
P1315,BUICK,Ignition Coil 4 Primary Feedback Circuit,P,en,0,buick_codes
P1320,BUICK,"IC Module 4X Ref Circuit Intermittent, No Pulses",P,en,0,buick_codes
P1321,BUICK,Electronic Ignition System Fault Line,P,en,0,buick_codes
P1322,BUICK,EI System Or Ignition Control Missing,P,en,0,buick_codes
P1323,BUICK,24X Reference Circuit Low Frequency,P,en,0,buick_codes
P1324,BUICK,Crank RPM Too Low,P,en,0,buick_codes
P1335,BUICK,CKP Circuit,P,en,0,buick_codes
P1336,BUICK,Crankshaft Position (CKP) System Variation Not Learned,P,en,0,buick_codes
P1345,BUICK,CKP/CMP Correlation,P,en,0,buick_codes
P1346,BUICK,Intake Camshaft Position (CMP) Sensor System Performance,P,en,0,buick_codes
P1350,BUICK,Ignition Contol System,P,en,0,buick_codes
P1351,BUICK,IC Circuit High Voltage,P,en,0,buick_codes
P1352,BUICK,IC Output High/Pulse Detected When Grounded Cyl.2,P,en,0,buick_codes
P1353,BUICK,IC Output High/Pulse Detected When Grounded Cyl.3,P,en,0,buick_codes
P1354,BUICK,IC Output High/Pulse Detected When Grounded Cyl.4,P,en,0,buick_codes
P1355,BUICK,IC Output High/Pulse Detected When Grounded Cyl.5,P,en,0,buick_codes
P1356,BUICK,IC Output High/Pulse Detected When Grounded Cyl.6,P,en,0,buick_codes
P1357,BUICK,IC Output High/Pulse Detected When Grounded Cyl.7,P,en,0,buick_codes
P1358,BUICK,IC Output High/Pulse Detected When Grounded Cyl.8,P,en,0,buick_codes
P1359,BUICK,Ignition Control Circuit Group A,P,en,0,buick_codes
P1360,BUICK,Ignition Control Circuit Group B,P,en,0,buick_codes
P1361,BUICK,IC Circuit Low Voltage,P,en,0,buick_codes
P1362,BUICK,IC Cylinder 2 Not Toggling After Enable,P,en,0,buick_codes
P1363,BUICK,IC Cylinder 3 Not Toggling After Enable,P,en,0,buick_codes
P1364,BUICK,IC Cylinder 4 Not Toggling After Enable,P,en,0,buick_codes
P1365,BUICK,IC Cylinder 5 Not Toggling After Enable,P,en,0,buick_codes
P1366,BUICK,IC Cylinder 6 Not Toggling AFter Enable,P,en,0,buick_codes
P1367,BUICK,IC Cylinder 7 Not Toggling After Enable,P,en,0,buick_codes
P1368,BUICK,IC Cylinder 8 Not Toggling After Enable,P,en,0,buick_codes
P1370,BUICK,"IC Module 4X Reference Circuit, Too Many Pulses",P,en,0,buick_codes
P1371,BUICK,DI Low Resolution Circuit,P,en,0,buick_codes
P1372,BUICK,Crankshaft Position Sensor Circuit Performance,P,en,0,buick_codes
P1374,BUICK,3X Reference Circuit,P,en,0,buick_codes
P1375,BUICK,24X Reference Circuit High Voltage,P,en,0,buick_codes
P1376,BUICK,Ignition Ground Circuit,P,en,0,buick_codes
P1377,BUICK,IC Module CAM Pulse To 4X Reference Pulse Comparison,P,en,0,buick_codes
P1380,BUICK,Misfire Detected Rough Road Data Not Available,P,en,0,buick_codes
P1381,BUICK,Misfire Detected No Communication with Brake Control Module,P,en,0,buick_codes
P1390,BUICK,"Wheel Speed Sensor 1, G-Sensor Circuit",P,en,0,buick_codes
P1391,BUICK,"Wheel Speed Sensor 1, G-Sensor Circuit Performance",P,en,0,buick_codes
P1392,BUICK,"Wheel Speed Sensor 1, G-Sensor Circuit Low Voltage",P,en,0,buick_codes
P1393,BUICK,"Wheel Speed Sensor 1, G-Sensor Circuit High Voltage",P,en,0,buick_codes
P1394,BUICK,"Wheel Speed Sensor 1, G-Sensor Circuit Intermittent",P,en,0,buick_codes
P1395,BUICK,"Wheel Speed Sensor 2, G-Sensor Circuit",P,en,0,buick_codes
P1396,BUICK,"Wheel Speed Sensor 2, G-Sensor Circuit Performance",P,en,0,buick_codes
P1397,BUICK,"Wheel Speed Sensor 2, G-Sensor Circuit Low Voltage",P,en,0,buick_codes
P1398,BUICK,"Wheel Speed Sensor 2, G-Sensor Circuit High Voltage",P,en,0,buick_codes
P1399,BUICK,"Wheel Speed Sensor 2, G-Sensor Circuit Intermittent",P,en,0,buick_codes
P1403,BUICK,Exhaust Gas Recirculation System Valve 1,P,en,0,buick_codes
P1404,BUICK,Exhaust Gas Recirculation System Valve 2,P,en,0,buick_codes
P1405,BUICK,Exhaust Gas Recirculation System Valve 3,P,en,0,buick_codes
P1406,BUICK,EGR Valve Pintle Position Circuit,P,en,0,buick_codes
P1407,BUICK,EGR Air Intrusion In Exhaust Supply To EGR Valve,P,en,0,buick_codes
P1408,BUICK,Intake Manifold Pressure Sensor Circuit,P,en,0,buick_codes
P1409,BUICK,EGR Vacuum System Leak,P,en,0,buick_codes
P1410,BUICK,Fuel Tank Pressure System,P,en,0,buick_codes
P1415,BUICK,Secondary Air Injection (AIR) System,P,en,0,buick_codes
P1416,BUICK,AIR System Bank 1,P,en,0,buick_codes
P1418,BUICK,Secondary Air Injection System Relay A Control Circuit High,P,en,0,buick_codes
P1420,BUICK,Intake Air Low Pressure Switch Circuit Low Voltage,P,en,0,buick_codes
P1421,BUICK,Intake Air Low Pressure Switch Circuit High Voltage,P,en,0,buick_codes
P1423,BUICK,Intake Air High Pressure Switch Circuit High Voltage,P,en,0,buick_codes
P1431,BUICK,Fuel Level Sensor 2 Performance,P,en,0,buick_codes
P1432,BUICK,Fuel Level Sensor 2 Circuit Low Voltage,P,en,0,buick_codes
P1433,BUICK,Fuel Level Sensor 2 Circuit High Voltage,P,en,0,buick_codes
P1441,BUICK,Evaporative Emission (EVAP) System Flow During Non-Purge,P,en,0,buick_codes
P1442,BUICK,EVAP Vacuum Switch High Voltage During Ignition On,P,en,0,buick_codes
P1450,BUICK,Barometric Pressure Sensor Circuit,P,en,0,buick_codes
P1451,BUICK,Barometric Pressure Sensor Performance,P,en,0,buick_codes
P1460,BUICK,Cooling Fan Control System,P,en,0,buick_codes
P1480,BUICK,Cooling Fan 1 Control Circuit High,P,en,0,buick_codes
P1483,BUICK,Engine Coolilng System Performance,P,en,0,buick_codes
P1500,BUICK,Starter Signal Circuit,P,en,0,buick_codes
P1501,BUICK,Vehicle Speed Sensor Circuit Intermittent,P,en,0,buick_codes
P1502,BUICK,Theft Deterrent System No Password Received,P,en,0,buick_codes
P1503,BUICK,Theft Deterrent System Password Incorrect,P,en,0,buick_codes
P1504,BUICK,Vehicle Speed Output Circuit,P,en,0,buick_codes
P1508,BUICK,IAC System Low RPM,P,en,0,buick_codes
P1509,BUICK,IAC System High RPM,P,en,0,buick_codes
P1510,BUICK,Back UP Power Supply,P,en,0,buick_codes
P1511,BUICK,Throttle Control System Backup System Performance,P,en,0,buick_codes
P1514,BUICK,Throttle Body Performance,P,en,0,buick_codes
